candidate_level,candidate_score,股票代號,股票名稱,市場,收盤價,MA20,是否站上 MA20,K 值,D 值,RSI,Volume_MA5,Volume_MA20,Volume_MA40,放量倍數,MACD_DIF,MACD_Signal,MACD_Histogram,MACD_Histogram_前1日,MACD_Histogram_前2日,MACD_綠柱趨緩接近翻紅,是否符合 KD 區間,是否符合 RSI 區間,是否明顯放量,MACD 是否綠柱趨緩接近翻紅,法人近 5 日是否合計買超,投信近 5 日是否買超,外資近 1 日買賣超張數,投信近 1 日買賣超張數,自營商近 1 日買賣超張數,三大法人近 1 日合計買賣超張數,外資近 5 日買賣超張數,投信近 5 日買賣超張數,自營商近 5 日買賣超張數,三大法人近 5 日合計買賣超張數,外資近 20 日買賣超張數,投信近 20 日買賣超張數,自營商近 20 日買賣超張數,三大法人近 20 日合計買賣超張數,最後更新日期
接近,30,3515,華擎,上市,207.0,221.025,False,29.138236121409236,43.65560559466372,40.989929491024036,705700.0,552665.1,619639.575,1.276903499062995,1.0355323523849904,2.3128834367282924,-1.277351084343302,-0.1174204967687924,0.2283661646593247,否,否,是,否,否,否,是,-991.49,0.0,-40.588,-1032.078,-939.5070000000001,11.0,-90.355,-1018.8619999999999,-564.599,27.0,-106.31,-643.9090000000001,2026-09-11
接近,30,1315,達新,上市,66.30000305175781,65.97500038146973,True,73.61161567714453,72.47579046188977,61.38197629210969,71823.0,56869.95,49182.925,1.2629341154687141,0.4526208545202337,0.4927728223563599,-0.04015196783612618,-0.0457066246656509,-0.05805970311621589,是,否,否,否,是,是,否,2.0,0.0,0.0,2.0,36.15,0.0,0.0,36.15,-38.235,0.0,0.0,-38.235,2026-09-11
接近,30,1713,國化,上市,42.54999923706055,43.895000267028806,False,10.550203405923957,18.87831192659469,34.4369287504711,306822.2,243508.65,239139.55,1.2600053427260183,-0.7702954439630219,-0.7189601661327547,-0.051335277830267145,-0.02732604396007643,-0.007009399885039347,否,否,是,否,否,是,否,-3.93,0.0,-1.0,-4.93,50.551,0.0,-2.0,48.551,-55.263000000000005,0.0,-145.0,-200.26299999999998,2026-09-11
接近,30,4419,皇家美食,上櫃,45.29999923706055,46.30749950408936,False,25.450298037990187,34.732298044033264,44.55874726373345,13000.2,10349.15,6890.275,1.2561611340061745,-0.049985991183902456,0.051357151669369334,-0.10134314285327178,-0.044567374645629695,0.04862770233044912,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,30,6829,千附精密,上櫃,228.0,234.05,False,32.95559849798217,50.78532247224101,49.71401752247094,1484199.8,1207953.3,1082252.025,1.2286897183856362,8.430537527321547,9.537013254192752,-1.1064757268712047,0.36929065419449714,1.3792698756580304,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,30,8443,阿瘦,上市,11.149999618530273,11.314999866485596,False,51.71803149177153,55.39848480662937,38.38303008996898,28387.2,23312.3,22097.975,1.2176919480274362,-0.06803300389372424,-0.050986430581315516,-0.017046573312408726,-0.01720631089865393,-0.020433386923594747,是,否,是,否,是,否,否,-7.0,0.0,0.0,-7.0,-4.411,0.0,0.0,-4.411,-2.4109999999999996,0.0,1.0,-1.4109999999999996,2026-09-11
接近,30,1723,中碳,上市,81.69999694824219,85.91000061035156,False,13.317982443723992,19.452528633101334,36.767581489744465,750412.8,617082.0,669677.2,1.216066584343734,-0.6844712861015694,-0.1082554176329593,-0.5762158684686101,-0.49689957117326794,-0.3904073876134688,否,否,是,否,否,否,是,-317.737,31.0,-7.595,-294.33200000000005,-1820.8740000000003,65.0,-48.532,-1804.406,-658.8659999999998,141.0,8.390999999999991,-509.47500000000014,2026-09-11
接近,30,3605,宏致,上市,122.5,121.65,True,46.06905938633241,45.32532577094756,53.93226168030769,13351369.6,13326942.8,12099025.25,1.001832888485122,5.452753215238047,6.369975586940404,-0.9172223717023567,-0.6456764034052993,-0.8144246719537183,否,是,否,否,否,否,是,-254.087,0.0,-50.147,-304.234,-6346.688,227.0,-203.13100000000003,-6322.8189999999995,-16339.457,2615.0,-573.307,-14297.764,2026-09-11
接近,20,2104,國際中橡,上市,10.5,10.402500009536743,True,51.61698780374225,44.238760960734794,53.174841253835424,4780021.2,3311610.65,3546777.625,1.443412799750478,0.05422355909729504,0.03728277616344284,0.0169407829338522,0.0168574319266327,0.004652005775350115,否,否,否,否,否,是,否,95.513,0.0,-4.986,90.527,3389.5200000000004,0.0,1.721,3391.241000000001,12049.91,0.0,144.168,12194.078,2026-09-11
接近,20,6615,慧智,上櫃,33.900001525878906,34.095000457763675,False,30.46613720067118,28.171766944362133,49.677123740238635,9822.0,6954.7,8420.325,1.4122823414381642,-0.09616298624516872,-0.07001652339594698,-0.026146462849221744,-0.021678482412669106,-0.0016315179411190567,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
